pibs_payload/source_id,pibs_payload/generation_time,pibs_payload/current_position/0,pibs_payload/current_position/1,,,pibs_payload/current_position/2,pibs_payload/msg_num
b827ebefdb50,1539882529,41.7,-86.24,circle1,red,777,1
b827ebefdb50,1539882530,0,0,circle1,red,,2
b827ebefdb50,1539884222,0,0,circle1,red,,3
b827ebefdb50,1539884223,0,0,circle1,red,,4
b827ebefdb50,1539884223,0,0,circle1,red,,5
b827ebefdb50,1539884223,0,0,circle1,red,,6
b827ebefdb50,1539884224,41.700135,-86.23941333,circle1,red,220.3,7
b827ebefdb50,1539884224,41.700135,-86.23941333,circle1,red,220.3,8
b827ebefdb50,1539884224,41.700135,-86.23941333,circle1,red,220.3,9
b827ebefdb50,1539884225,41.70013333,-86.23941333,circle1,red,220.3,10
b827ebefdb50,1539884225,41.70013333,-86.23941333,circle1,red,220.3,11
b827ebefdb50,1539884225,41.70013333,-86.23941333,circle1,red,220.3,12
b827ebefdb50,1539884225,41.70013333,-86.23941333,circle1,red,220.3,13
b827ebefdb50,1539884226,41.70013333,-86.23941167,circle1,red,220.3,14
b827ebefdb50,1539884226,41.70013333,-86.23941167,circle1,red,220.3,15
b827ebefdb50,1539884226,41.70013333,-86.23941167,circle1,red,220.3,16
b827ebefdb50,1539884227,41.70013167,-86.23941167,circle1,red,220.3,17
b827ebefdb50,1539884227,41.70013167,-86.23941167,circle1,red,220.3,18
b827ebefdb50,1539884227,41.70013167,-86.23941167,circle1,red,220.3,19
b827ebefdb50,1539884228,41.70013167,-86.23941167,circle1,red,220.3,20
b827ebefdb50,1539884228,41.70013167,-86.23941167,circle1,red,220.3,21
b827ebefdb50,1539884228,41.70013167,-86.23941167,circle1,red,220.3,22
b827ebefdb50,1539884228,41.70013,-86.23941167,circle1,red,220.3,23
b827ebefdb50,1539884229,41.70013,-86.23941167,circle1,red,220.3,24
b827ebefdb50,1539884229,41.70013,-86.23941167,circle1,red,220.3,25
b827ebefdb50,1539884229,41.70013,-86.23941167,circle1,red,220.3,26
b827ebefdb50,1539884230,41.70013,-86.23941333,circle1,red,220.3,27
b827ebefdb50,1539884230,41.70013,-86.23941333,circle1,red,220.3,28
b827ebefdb50,1539884230,41.70013,-86.23941333,circle1,red,220.3,29
b827ebefdb50,1539884231,41.70013167,-86.239415,circle1,red,220.3,30
b827ebefdb50,1539884231,41.70013167,-86.239415,circle1,red,220.3,31
b827ebefdb50,1539884231,41.70013167,-86.239415,circle1,red,220.3,32
b827ebefdb50,1539884231,41.70013167,-86.23941667,circle1,red,220.3,33
b827ebefdb50,1539884232,41.70013167,-86.23941667,circle1,red,220.3,34
b827ebefdb50,1539884232,41.70013167,-86.23941667,circle1,red,220.3,35
b827ebefdb50,1539884232,41.70013167,-86.23941667,circle1,red,220.3,36
b827ebefdb50,1539884233,41.70013167,-86.23941667,circle1,red,220.3,37
b827ebefdb50,1539884233,41.70013167,-86.23941667,circle1,red,220.3,38
b827ebefdb50,1539884233,41.70013167,-86.23941667,circle1,red,220.3,39
b827ebefdb50,1539884234,41.70013167,-86.23941833,circle1,red,220.3,40
b827ebefdb50,1539884234,41.70013167,-86.23941833,circle1,red,220.3,41
b827ebefdb50,1539884234,41.70013167,-86.23941833,circle1,red,220.3,42
b827ebefdb50,1539884234,41.70013167,-86.23941833,circle1,red,220.3,43
b827ebefdb50,1539884235,41.70013167,-86.23941833,circle1,red,220.3,44
b827ebefdb50,1539884235,41.70013167,-86.23941833,circle1,red,220.3,45
b827ebefdb50,1539884235,41.70013167,-86.23941833,circle1,red,220.3,46
b827ebefdb50,1539884236,41.70013167,-86.23941833,circle1,red,220.3,47
b827ebefdb50,1539884236,41.70013167,-86.23941833,circle1,red,220.3,48
b827ebefdb50,1539884236,41.70013167,-86.23941833,circle1,red,220.3,49
b827ebefdb50,1539884237,41.70013167,-86.23941833,circle1,red,220.3,50
