pibs_payload/source_id,pibs_payload/generation_time,pibs_payload/current_position/0,pibs_payload/current_position/1,pibs_payload/current_position/2,pibs_payload/msg_num
b827ebefdb50,1539882528.98,41.7,-86.24,777,1
b827ebefdb50,1539882529.65,0,0,,2
b827ebefdb50,1539884222.46,0,0,,3
b827ebefdb50,1539884222.76,0,0,,4
b827ebefdb50,1539884223.06,0,0,,5
b827ebefdb50,1539884223.36,0,0,,6
b827ebefdb50,1539884223.66,41.700135,-86.239413333,220.3,7
b827ebefdb50,1539884223.97,41.700135,-86.239413333,220.3,8
b827ebefdb50,1539884224.27,41.700135,-86.239413333,220.3,9
b827ebefdb50,1539884224.57,41.700133333,-86.239413333,220.3,10
b827ebefdb50,1539884224.87,41.700133333,-86.239413333,220.3,11
b827ebefdb50,1539884225.17,41.700133333,-86.239413333,220.3,12
b827ebefdb50,1539884225.47,41.700133333,-86.239413333,220.3,13
b827ebefdb50,1539884225.77,41.700133333,-86.239411667,220.3,14
b827ebefdb50,1539884226.07,41.700133333,-86.239411667,220.3,15
b827ebefdb50,1539884226.37,41.700133333,-86.239411667,220.3,16
b827ebefdb50,1539884226.67,41.700131667,-86.239411667,220.3,17
b827ebefdb50,1539884226.97,41.700131667,-86.239411667,220.3,18
b827ebefdb50,1539884227.27,41.700131667,-86.239411667,220.3,19
b827ebefdb50,1539884227.57,41.700131667,-86.239411667,220.3,20
b827ebefdb50,1539884227.87,41.700131667,-86.239411667,220.3,21
b827ebefdb50,1539884228.17,41.700131667,-86.239411667,220.3,22
b827ebefdb50,1539884228.47,41.70013,-86.239411667,220.3,23
b827ebefdb50,1539884228.77,41.70013,-86.239411667,220.3,24
b827ebefdb50,1539884229.07,41.70013,-86.239411667,220.3,25
b827ebefdb50,1539884229.38,41.70013,-86.239411667,220.3,26
b827ebefdb50,1539884229.68,41.70013,-86.239413333,220.3,27
b827ebefdb50,1539884229.98,41.70013,-86.239413333,220.3,28
b827ebefdb50,1539884230.28,41.70013,-86.239413333,220.3,29
b827ebefdb50,1539884230.58,41.700131667,-86.239415,220.3,30
b827ebefdb50,1539884230.88,41.700131667,-86.239415,220.3,31
b827ebefdb50,1539884231.18,41.700131667,-86.239415,220.3,32
b827ebefdb50,1539884231.48,41.700131667,-86.239416667,220.3,33
b827ebefdb50,1539884231.78,41.700131667,-86.239416667,220.3,34
b827ebefdb50,1539884232.08,41.700131667,-86.239416667,220.3,35
b827ebefdb50,1539884232.38,41.700131667,-86.239416667,220.3,36
b827ebefdb50,1539884232.68,41.700131667,-86.239416667,220.3,37
b827ebefdb50,1539884232.98,41.700131667,-86.239416667,220.3,38
b827ebefdb50,1539884233.28,41.700131667,-86.239416667,220.3,39
b827ebefdb50,1539884233.59,41.700131667,-86.239418333,220.3,40
b827ebefdb50,1539884233.89,41.700131667,-86.239418333,220.3,41
b827ebefdb50,1539884234.19,41.700131667,-86.239418333,220.3,42
b827ebefdb50,1539884234.49,41.700131667,-86.239418333,220.3,43
b827ebefdb50,1539884234.79,41.700131667,-86.239418333,220.3,44
b827ebefdb50,1539884235.09,41.700131667,-86.239418333,220.3,45
b827ebefdb50,1539884235.39,41.700131667,-86.239418333,220.3,46
b827ebefdb50,1539884235.69,41.700131667,-86.239418333,220.3,47
b827ebefdb50,1539884235.99,41.700131667,-86.239418333,220.3,48
b827ebefdb50,1539884236.29,41.700131667,-86.239418333,220.3,49
